x,y,depth
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.740000000000000000e+02,1.130000000000000000e+02,1.327000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
1.670000000000000000e+02,1.140000000000000000e+02,1.316000000000000000e+03
